name,price,duration,person_details
"ITC Maurya, a Luxury Collection Hotel, New Delhi",N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
The Leela Ambience Convention Hotel Delhi,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Hyatt Regency Delhi,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Holiday Inn New Delhi Aerocity by IHG,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
"Andaz Delhi, by Hyatt",N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
"Taj Palace, New Delhi",N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Novotel New Delhi Aerocity,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Le Meridien New Delhi,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
ibis New Delhi Aerocity - An Accor Brand,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
The LaLiT New Delhi,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Crowne Plaza New Delhi Mayur Vihar Noida by IHG,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
The Lodhi – A member of The Leading Hotels Of The World,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
"Taj Mahal, New Delhi",N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
The Leela Palace New Delhi,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Shangri-La Eros New Delhi,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
"Welcomhotel by ITC Hotels, Dwarka, New Delhi",N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Radisson Blu Hotel New Delhi Dwarka,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
The Grand Orion - Kailash Colony,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Sheraton New Delhi Hotel,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Hilton Garden Inn New Delhi/Saket,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Radisson Blu Plaza Delhi Airport,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Saltstayz Select - Malcha & Chankyapuri,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
"Vivanta New Delhi, Dwarka",N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
"Ambassador, New Delhi - IHCL SeleQtions",N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Novotel New Delhi City Centre,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
The Oberoi New Delhi,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
IVA Premium by UV Hotels - Free Airport Pickup or Drop,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Crowne Plaza New Delhi Okhla by IHG,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
HOTEL SHANDON-2 Mins From Connaught Place,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Aloft New Delhi Aerocity,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Hotel Grand King Plaza A Family Hotel,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Roseate House New Delhi,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
The Prime Delhi - An Award Winning Hotel 2025 Traveller's Choice,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
IVA Premium Aerocity - Free Airport Pickup or Drop,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Olive Service Apartments - Greater Kailash,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Olive Serviced Apartments - New Friends Colony,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Pullman New Delhi Aerocity,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Olive Service Apartments - Green Park,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
The Claridges New Delhi,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Holiday Inn New Delhi Mayur Vihar Noida by IHG,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Orania B & B by Atsar,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
"The Ashok, New Delhi",N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Hotel Namaste Hindustan Just a Minute Away From New Delhi Railway Station and Connaught place,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Saltstayz Thyme - New Friends Colony,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Hotel Tripple Tree - Karol Bagh,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Hotel Sapphire House - 3 Mins Walk from Metro and 5 Mins from Rail Station,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Hotel International Inn - Near Delhi Airport,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
Maidens Hotel New Delhi,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
"Four Points by Sheraton New Delhi, Airport Highway",N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
The Shanti Plaza - Traveler's choice awarded 2025,N/A,3 days 3 nights,"2 adults, 1 children (ages: 4, 6)"
